#EXTINF:-1,cctv1-HD
CCTV1-4K,http://ott.mobaibox.com/PLTV/1/224/3221228581/1.m3u8
#EXTINF:-1,cctv1-HD
CCTV1 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221227725/1.m3u8
#EXTINF:-1,cctv2-HD
CCTV2 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228118/1.m3u8
CCTV3 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228237/1.m3u8
CCTV3-4K,http://ott.mobaibox.com/PLTV/1/224/3221228499/1.m3u8
CCTV4-4KHEVC,http://ott.mobaibox.com/PLTV/1/224/3221228228/1.m3u8
CCTV5-4K,http://ott.mobaibox.com/PLTV/1/224/3221228502/1.m3u8
CCTV5+ 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228114/1.m3u8
CCTV6 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221227581/1.m3u8
CCTV7 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228283/1.m3u8
CCTV8-4KHEVC,http://ott.mobaibox.com/PLTV/1/224/3221228165/1.m3u8
CCTV9 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221227704/1.m3u8
CCTV10 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228286/1.m3u8
CCTV11 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228289/1.m3u8
CCTV12 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221227655/1.m3u8
CCTV13 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228324/1.m3u8
CCTV14 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228292/1.m3u8
CCTV15 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228404/1.m3u8
CCTV16-4K 2160HDR,http://ott.mobaibox.com/PLTV/1/224/3221228127/1.m3u8
CCTV16-4K 2160,http://ott.mobaibox.com/PLTV/1/224/3221228168/1.m3u8
CCTV17 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228407/1.m3u8
CCTV高尔夫网球 1080,http://ott.mobaibox.com/PLTV/1/224/3221228138/1.m3u8
江苏卫视 1080HEVC,http://ott.mobaibox.com/PLTV/1/224/3221228099/1.m3u8
